------ Basic information ------
Temporal cardinal of nodes: 1036970
Distinct cardinal of nodes: 916
Temporal cardinal of links: 8958
Distinct cardinal of links: 1072
Duration: 18607

------ Stream metrics ------
Coverage: 0.060841
Number of nodes: 55.730102
Node duration: 1132.063319
Link duration: 0.021376
Uniformity: 0.032667
Compactness: 0.060841
Density: 0.000298
Average node degree: 0.013090
Node clustering coefficient: 0.000000
Transitivity ratio: 0.000000

------ Node and link metrics ------
Node 124 | Contribution: 0.024023 | Density: 0.000116 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 125 | Contribution: 0.089267 | Density: 0.000245 | Degree: 0.001397 | Clustering coefficient: 0.000000
Node 126 | Contribution: 0.000054 | Density: 0.012658 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 127 | Contribution: 0.119256 | Density: 0.000012 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 128 | Contribution: 0.024453 | Density: 0.000175 | Degree: 0.000322 | Clustering coefficient: 0.000000
Node 129 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 130 | Contribution: 0.000054 | Density: 0.012048 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 131 | Contribution: 0.024722 | Density: 0.000089 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 132 | Contribution: 0.000054 | Density: 0.027027 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 133 | Contribution: 0.000054 | Density: 0.012658 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 134 | Contribution: 0.059440 | Density: 0.000255 | Degree: 0.000591 | Clustering coefficient: 0.000000
Node 135 | Contribution: 0.208309 | Density: 0.000068 | Degree: 0.001021 | Clustering coefficient: 0.000000
Node 136 | Contribution: 0.042887 | Density: 0.000049 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 137 | Contribution: 0.013113 | Density: 0.000208 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 138 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 139 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 140 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 141 | Contribution: 0.007847 | Density: 0.000346 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 142 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 143 | Contribution: 0.000054 | Density: 0.014286 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 144 | Contribution: 0.000054 | Density: 0.013889 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 145 | Contribution: 0.421508 | Density: 0.000177 | Degree: 0.004998 | Clustering coefficient: 0.000000
Node 146 | Contribution: 0.000645 | Density: 0.003989 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 147 | Contribution: 0.322029 | Density: 0.000058 | Degree: 0.001182 | Clustering coefficient: 0.000000
Node 148 | Contribution: 0.000054 | Density: 0.017241 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 149 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 150 | Contribution: 0.000322 | Density: 0.004115 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 151 | Contribution: 0.252539 | Density: 0.000010 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 152 | Contribution: 0.037298 | Density: 0.000403 | Degree: 0.000860 | Clustering coefficient: 0.000000
Node 153 | Contribution: 0.000054 | Density: 0.019231 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 154 | Contribution: 0.000054 | Density: 0.020833 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 155 | Contribution: 0.000161 | Density: 0.020408 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 156 | Contribution: 0.078196 | Density: 0.000020 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 157 | Contribution: 0.046757 | Density: 0.000112 | Degree: 0.000376 | Clustering coefficient: 0.000000
Node 158 | Contribution: 0.000054 | Density: 0.017857 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 159 | Contribution: 0.000054 | Density: 0.013514 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 160 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 161 | Contribution: 0.040039 | Density: 0.000055 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 162 | Contribution: 0.000054 | Density: 0.012987 | Degree: 0.000054 | Clustering coefficient: 0.000000
